Date,Plot,Treatment,Row,Plants,Week,WAT,Location,TBW
2012-6-7,307,1,3,23,2,4,K,1
2012-6-7,308,7,3,24,2,4,K,5
2012-6-7,401,5,3,25,2,4,K,1
2012-6-7,402,2,3,24,2,4,K,4
2012-6-7,403,1,3,24,2,4,K,0
2012-6-7,404,3,3,24,2,4,K,5
2012-6-7,405,7,3,23,2,4,K,7
2012-6-7,406,6,3,24,2,4,K,0
2012-6-7,407,4,3,24,2,4,K,1
2012-6-7,408,8,3,21,2,4,K,0
2012-6-11,101,8,3,22,3,5,K,3
2012-6-11,102,5,3,23,3,5,K,1
2012-6-11,103,2,3,22,3,5,K,6
2012-6-11,104,3,3,22,3,5,K,6
2012-6-11,105,6,3,24,3,5,K,5
2012-6-11,106,4,3,24,3,5,K,2
2012-6-11,107,7,3,23,3,5,K,4
2012-6-11,108,1,3,22,3,5,K,8
2012-6-11,201,2,3,25,3,5,K,5
2012-6-11,202,4,3,22,3,5,K,4
2012-6-11,203,6,3,22,3,5,K,3
2012-6-11,204,1,3,22,3,5,K,2
2012-6-11,205,3,3,23,3,5,K,4
2012-6-11,206,8,3,26,3,5,K,1
2012-6-11,207,7,3,23,3,5,K,10
2012-6-11,208,5,3,25,3,5,K,1
2012-6-11,301,5,3,25,3,5,K,1
2012-6-11,302,8,3,25,3,5,K,0
2012-6-11,303,2,3,23,3,5,K,2
2012-6-11,304,3,3,25,3,5,K,5
2012-6-11,305,6,3,23,3,5,K,2
2012-6-11,306,4,3,24,3,5,K,0
2012-6-11,307,1,3,23,3,5,K,3
2012-6-11,308,7,3,24,3,5,K,5
2012-6-11,401,5,3,25,3,5,K,0
2012-6-11,402,2,3,24,3,5,K,4
2012-6-11,403,1,3,24,3,5,K,1
2012-6-11,404,3,3,24,3,5,K,6
2012-6-11,405,7,3,23,3,5,K,4
2012-6-11,406,6,3,24,3,5,K,0
2012-6-11,407,4,3,24,3,5,K,1
2012-6-11,408,8,3,21,3,5,K,1
2012-6-20,101,8,3,22,4,6,K,8
2012-6-20,102,5,3,23,4,6,K,5
2012-6-20,103,2,3,22,4,6,K,12
2012-6-20,104,3,3,22,4,6,K,18
2012-6-20,105,6,3,24,4,6,K,11
2012-6-20,106,4,3,24,4,6,K,2
2012-6-20,107,7,3,23,4,6,K,13
2012-6-20,108,1,3,22,4,6,K,14
2012-6-20,201,2,3,25,4,6,K,18
2012-6-20,202,4,3,22,4,6,K,8
2012-6-20,203,6,3,22,4,6,K,13
2012-6-20,204,1,3,22,4,6,K,7
2012-6-20,205,3,3,23,4,6,K,18
2012-6-20,206,8,3,26,4,6,K,9
2012-6-20,207,7,3,23,4,6,K,17
2012-6-20,208,5,3,25,4,6,K,13
2012-6-20,301,5,3,25,4,6,K,8
2012-6-20,302,8,3,25,4,6,K,8
2012-6-20,303,2,3,23,4,6,K,12
2012-6-20,304,3,3,25,4,6,K,11
2012-6-20,305,6,3,23,4,6,K,8
2012-6-20,306,4,3,24,4,6,K,3
2012-6-20,307,1,3,23,4,6,K,13
2012-6-20,308,7,3,24,4,6,K,10
2012-6-20,401,5,3,25,4,6,K,13
2012-6-20,402,2,3,24,4,6,K,4
2012-6-20,403,1,3,24,4,6,K,16
2012-6-20,404,3,3,24,4,6,K,8
2012-6-20,405,7,3,23,4,6,K,17
2012-6-20,406,6,3,24,4,6,K,10
2012-6-20,407,4,3,24,4,6,K,15
2012-6-20,408,8,3,21,4,6,K,10
